tahun,jumlah_penduduk
2014-12-31,10015712
2015-12-31,10196584.452148438
2016-12-31,10282365.329345703
2017-12-31,9514039.889175415
2018-12-31,10735399.594238281
2019-12-31,10945270.568847656
2020-12-31,11082459.369628906
