"tanggal","stasiun","pm10","pm25","so2","co","o3","no2","max","critical","categori"
"2010-08-01",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-02",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-03",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-04",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-05",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-06",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-07",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-08",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-09",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-10",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-11",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-12",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-13",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-14",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-15",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-16",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-17",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-18",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-19",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-20",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-21",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-22",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-23",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-24",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-25",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-26",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-27",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-28",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-29",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-30",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-08-31",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-01",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-02",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-03",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-04",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-05",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-06",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-07",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-08",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-09",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-10",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-11",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-12",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-13",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-14",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-15",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-16",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-17",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-18",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-19",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-20",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-21",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-22",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-23",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-24",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-25",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-26",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-27",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-28",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-29",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-04-30",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-12-01",DKI3 (Jagakarsa),58,,3,12,80,3,80,O3,SEDANG
"2010-12-02",DKI3 (Jagakarsa),53,,3,12,80,4,80,O3,SEDANG
"2010-12-03",DKI3 (Jagakarsa),59,,5,16,82,9,82,O3,SEDANG
"2010-12-04",DKI3 (Jagakarsa),50,,5,17,42,3,50,PM10,BAIK
"2010-12-05",DKI3 (Jagakarsa),41,,3,22,23,3,41,PM10,BAIK
"2010-12-06",DKI3 (Jagakarsa),31,,3,11,34,5,34,O3,BAIK
"2010-12-07",DKI3 (Jagakarsa),29,,3,8,30,3,30,O3,BAIK
"2010-12-08",DKI3 (Jagakarsa),42,,3,13,32,4,42,PM10,BAIK
"2010-12-09",DKI3 (Jagakarsa),35,,4,10,58,4,58,O3,SEDANG
"2010-12-10",DKI3 (Jagakarsa),43,,3,9,50,3,50,O3,BAIK
"2010-12-11",DKI3 (Jagakarsa),31,,3,6,38,3,38,O3,BAIK
"2010-12-12",DKI3 (Jagakarsa),33,,4,10,37,4,37,O3,BAIK
"2010-12-13",DKI3 (Jagakarsa),39,,4,7,83,3,83,O3,SEDANG
"2010-12-14",DKI3 (Jagakarsa),61,,5,17,56,4,61,PM10,SEDANG
"2010-12-15",DKI3 (Jagakarsa),58,,5,17,119,9,119,O3,TIDAK SEHAT
"2010-12-16",DKI3 (Jagakarsa),41,,5,8,44,2,44,O3,BAIK
"2010-12-17",DKI3 (Jagakarsa),36,,4,5,36,2,36,PM10,BAIK
"2010-12-18",DKI3 (Jagakarsa),34,,3,6,28,2,34,PM10,BAIK
"2010-12-19",DKI3 (Jagakarsa),49,,4,15,32,3,49,PM10,BAIK
"2010-12-20",DKI3 (Jagakarsa),51,,4,13,31,4,51,PM10,SEDANG
"2010-12-21",DKI3 (Jagakarsa),40,,4,7,32,3,40,PM10,BAIK
"2010-12-22",DKI3 (Jagakarsa),45,,4,6,32,3,45,PM10,BAIK
"2010-12-23",DKI3 (Jagakarsa),51,,4,14,38,3,51,PM10,SEDANG
"2010-12-24",DKI3 (Jagakarsa),62,,5,16,241,9,241,O3,SANGAT TIDAK SEHAT
"2010-12-25",DKI3 (Jagakarsa),65,,6,16,80,7,80,O3,SEDANG
"2010-12-26",DKI3 (Jagakarsa),65,,5,20,52,4,65,PM10,SEDANG
"2010-12-27",DKI3 (Jagakarsa),38,,6,4,54,2,54,O3,SEDANG
"2010-12-28",DKI3 (Jagakarsa),45,,6,6,53,2,53,O3,SEDANG
"2010-12-29",DKI3 (Jagakarsa),42,,5,9,40,4,42,PM10,BAIK
"2010-12-30",DKI3 (Jagakarsa),38,,7,4,40,1,40,O3,BAIK
"2010-12-31",DKI3 (Jagakarsa),,,4,6,34,2,34,O3,BAIK
"2010-02-01",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-02",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-03",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-04",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-05",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-06",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-07",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-08",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-09",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-10",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-11",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-12",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-13",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-14",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-15",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-16",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-17",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-18",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-19",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-20",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-21",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-22",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-23",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-24",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-25",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-26",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-27",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-02-28",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-01",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-02",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-03",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-04",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-05",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-06",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-07",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-08",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-09",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-10",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-11",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-12",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-13",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-14",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-15",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-16",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-17",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-18",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-19",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-20",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-21",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-22",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-23",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-24",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-25",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-26",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-27",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-28",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-29",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-30",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
"2010-01-31",DKI3 (Jagakarsa),,,,,,,,,TIDAK ADA DATA
