tahun,nama_kabupaten_kota,jumlah_penduduk
2014-12-31,JAKARTA BARAT,2274682.0
2015-12-31,JAKARTA BARAT,2304288.093017578
2016-12-31,JAKARTA BARAT,2317616.251953125
2017-12-31,JAKARTA BARAT,2131452.144378662
2018-12-31,JAKARTA BARAT,2445518.4350585938
2019-12-31,JAKARTA BARAT,2496577.5681152344
2020-12-31,JAKARTA BARAT,2529042.2333984375
