tahun,nama_kabupaten_kota,jumlah_penduduk
2014-12-31,JAKARTA UTARA,1659612.0
2015-12-31,JAKARTA UTARA,1696001.61328125
2016-12-31,JAKARTA UTARA,1679725.19140625
2017-12-31,JAKARTA UTARA,1600695.8636779785
2018-12-31,JAKARTA UTARA,1754173.5615234375
2019-12-31,JAKARTA UTARA,1791974.0947265625
2020-12-31,JAKARTA UTARA,1816228.8212890625
