"tanggal","stasiun","pm10","pm25","so2","co","o3","no2","max","critical","categori"
"2010-08-01",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-02",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-03",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-04",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-05",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-06",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-07",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-08",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-09",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-10",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-11",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-12",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-13",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-14",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-15",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-16",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-17",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-18",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-19",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-20",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-21",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-22",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-23",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-24",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-25",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-26",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-27",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-28",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-29",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-30",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-08-31",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-01",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-02",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-03",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-04",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-05",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-06",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-07",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-08",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-09",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-10",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-11",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-12",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-13",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-14",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-15",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-16",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-17",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-18",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-19",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-20",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-21",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-22",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-23",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-24",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-25",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-26",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-27",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-28",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-29",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-04-30",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-01",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-02",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-03",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-04",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-05",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-06",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-07",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-08",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-09",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-10",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-11",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-12",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-13",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-14",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-15",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-16",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-17",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-18",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-19",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-20",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-21",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-22",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-23",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-24",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-25",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-26",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-27",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-28",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-29",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-30",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-12-31",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-01",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-02",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-03",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-04",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-05",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-06",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-07",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-08",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-09",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-10",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-11",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-12",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-13",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-14",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-15",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-16",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-17",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-18",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-19",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-20",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-21",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-22",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-23",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-24",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-25",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-26",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-27",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-02-28",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-01",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-02",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-03",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-04",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-05",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-06",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-07",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-08",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-09",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-10",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-11",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-12",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-13",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
"2010-01-14",DKI5 (Kebon Jeruk),,,,,,,,,TIDAK ADA DATA
