tahun,nama_kabupaten_kota,jumlah_penduduk
2014-12-31,JAKARTA SELATAN,2112699.0
2015-12-31,JAKARTA SELATAN,2148802.4790039062
2016-12-31,JAKARTA SELATAN,2186541.341796875
2017-12-31,JAKARTA SELATAN,2035419.0335235596
2018-12-31,JAKARTA SELATAN,2249222.540283203
2019-12-31,JAKARTA SELATAN,2296460.1640625
2020-12-31,JAKARTA SELATAN,2319732.7521972656
